FIELD1,Оборот розничной торговли,Объем платных услуг населению,мешки бумажные. млн.шт.,Скот и птица (в живом весе). тыс.тонн,"НАЛОГОВЫЕ И НЕНАЛОГОВЫЕ ДОХОДЫ
"
2009,53440.3,15758.5,316.00,12.20,15322132233.00
2010,60033.4,17128.8,337.50,11.80,18202689345.00
2011,69919.6,20254.7,351.70,11.70,7340000000.00
2012,78438.8,22655.6,368.70,12.60,7290000000.00
2013,86819.8,25093.7,407.60,12.10,16000000000.00
2014,97333.1,27318.4,421.80,12.10,17800000000.00
2015,103880.9,28843.0,395.20,11.50,19700000000.00
2016,107326.0,30795.6,453.90,8.10,20100000000.00
2017,112645.0,33410.2,427.00,5.50,26600000000.00
2018,121317.8,34583.4,491.90,5.10,"27763981934
"
2019,129121.6,37155.6,515.3,3.8,"33317772000
"
